<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;02/09/21;000000;153.8700000;154.7200000;152.4000000;153.7000000;3099612
US1.AAPL;D;03/09/21;000000;153.7600000;154.6200000;153.1000000;154.3700000;2507847
US1.AAPL;D;07/09/21;000000;154.9800000;157.2600000;154.4000000;156.7000000;3987084
US1.AAPL;D;08/09/21;000000;156.9900000;157.0300000;153.9800000;155.1100000;3529373
US1.AAPL;D;09/09/21;000000;155.4900000;156.1100000;153.9500000;154.1200000;2511921
US1.AAPL;D;10/09/21;000000;154.9900000;155.4800000;148.7100000;149.0000000;7552188
US1.AAPL;D;13/09/21;000000;150.6300000;151.4100000;148.7500000;149.6200000;5263486
US1.AAPL;D;14/09/21;000000;150.3500000;151.0600000;146.9100000;148.1800000;5065959
US1.AAPL;D;15/09/21;000000;148.5600000;149.4300000;146.3800000;149.0900000;3809911
US1.AAPL;D;16/09/21;000000;148.4400000;148.9700000;147.2300000;148.8600000;4252823
US1.AAPL;D;17/09/21;000000;148.8200000;148.8200000;145.7600000;146.0000000;5044902
US1.AAPL;D;20/09/21;000000;143.7800000;144.8300000;141.2700000;143.0100000;6428984
US1.AAPL;D;21/09/21;000000;143.9900000;144.6000000;142.7800000;143.4000000;3790720
US1.AAPL;D;22/09/21;000000;144.4500000;146.4200000;143.7100000;145.8000000;3656472
US1.AAPL;D;23/09/21;000000;146.6600000;147.0800000;145.6500000;146.7500000;3134808
US1.AAPL;D;24/09/21;000000;145.6600000;147.4700000;145.5700000;146.9300000;2836770
US1.AAPL;D;27/09/21;000000;145.4000000;145.9600000;143.8300000;145.3900000;3504880
US1.AAPL;D;28/09/21;000000;143.1900000;144.7500000;141.7000000;141.9500000;5602142
US1.AAPL;D;29/09/21;000000;142.4700000;144.4500000;142.0300000;142.8600000;3205269
US1.AAPL;D;30/09/21;000000;143.6700000;144.3700000;141.2900000;141.3600000;4102531
US1.AAPL;D;01/10/21;000000;141.8900000;142.9100000;139.1300000;142.4200000;4233615
